Data,faixaEtaria,sexo,quantidadeObitos
2020-04-10,25 a 29 anos,Masculino,1
2020-04-10,30 a 34 anos,Masculino,2
2020-04-10,30 a 34 anos,Feminino,1
2020-04-10,35 a 39 anos,Masculino,1
2020-04-10,40 a 44 anos,Masculino,4
2020-04-10,40 a 44 anos,Feminino,2
2020-04-10,45 a 49 anos,Masculino,3
2020-04-10,45 a 49 anos,Feminino,1
2020-04-10,50 a 54 anos,Masculino,2
2020-04-10,50 a 54 anos,Feminino,1
2020-04-10,55 a 59 anos,Masculino,3
2020-04-10,55 a 59 anos,Feminino,2
2020-04-10,60 a 64 anos,Masculino,2
2020-04-10,60 a 64 anos,Feminino,5
2020-04-10,65 a 69 anos,Masculino,2
2020-04-10,65 a 69 anos,Feminino,4
2020-04-10,70 a 74 anos,Masculino,10
2020-04-10,70 a 74 anos,Feminino,6
2020-04-10,75 a 79 anos,Masculino,8
2020-04-10,75 a 79 anos,Feminino,5
2020-04-10,80 anos ou mais,Masculino,12
2020-04-10,80 anos ou mais,Feminino,13
2020-04-11,0 a 4 anos,Masculino,1
2020-04-11,0 a 4 anos,Feminino,1
2020-04-11,25 a 29 anos,Masculino,1
2020-04-11,30 a 34 anos,Masculino,2
2020-04-11,30 a 34 anos,Feminino,1
2020-04-11,35 a 39 anos,Masculino,1
2020-04-11,40 a 44 anos,Masculino,4
2020-04-11,40 a 44 anos,Feminino,2
2020-04-11,45 a 49 anos,Masculino,3
2020-04-11,45 a 49 anos,Feminino,1
2020-04-11,50 a 54 anos,Masculino,2
2020-04-11,50 a 54 anos,Feminino,1
2020-04-11,55 a 59 anos,Masculino,3
2020-04-11,55 a 59 anos,Feminino,2
2020-04-11,60 a 64 anos,Masculino,2
2020-04-11,60 a 64 anos,Feminino,5
2020-04-11,65 a 69 anos,Masculino,2
2020-04-11,65 a 69 anos,Feminino,4
2020-04-11,70 a 74 anos,Masculino,11
2020-04-11,70 a 74 anos,Feminino,6
2020-04-11,75 a 79 anos,Masculino,10
2020-04-11,75 a 79 anos,Feminino,6
2020-04-11,80 anos ou mais,Masculino,14
2020-04-11,80 anos ou mais,Feminino,15
2020-04-12,0 a 4 anos,Masculino,1
2020-04-12,0 a 4 anos,Feminino,2
2020-04-12,25 a 29 anos,Masculino,1
2020-04-12,30 a 34 anos,Masculino,2
2020-04-12,30 a 34 anos,Feminino,1
2020-04-12,35 a 39 anos,Masculino,1
2020-04-12,40 a 44 anos,Masculino,4
2020-04-12,40 a 44 anos,Feminino,2
2020-04-12,45 a 49 anos,Masculino,3
2020-04-12,45 a 49 anos,Feminino,2
2020-04-12,50 a 54 anos,Masculino,2
2020-04-12,50 a 54 anos,Feminino,1
2020-04-12,55 a 59 anos,Masculino,4
2020-04-12,55 a 59 anos,Feminino,2
2020-04-12,60 a 64 anos,Masculino,2
2020-04-12,60 a 64 anos,Feminino,6
2020-04-12,65 a 69 anos,Masculino,3
2020-04-12,65 a 69 anos,Feminino,5
2020-04-12,70 a 74 anos,Masculino,11
2020-04-12,70 a 74 anos,Feminino,6
2020-04-12,75 a 79 anos,Masculino,11
2020-04-12,75 a 79 anos,Feminino,7
2020-04-12,80 anos ou mais,Masculino,14
2020-04-12,80 anos ou mais,Feminino,15
2020-04-13,0 a 4 anos,Masculino,1
2020-04-13,0 a 4 anos,Feminino,2
2020-04-13,25 a 29 anos,Masculino,1
2020-04-13,30 a 34 anos,Masculino,2
2020-04-13,30 a 34 anos,Feminino,1
2020-04-13,35 a 39 anos,Masculino,1
2020-04-13,40 a 44 anos,Masculino,4
2020-04-13,40 a 44 anos,Feminino,2
2020-04-13,45 a 49 anos,Masculino,3
2020-04-13,45 a 49 anos,Feminino,2
2020-04-13,50 a 54 anos,Masculino,3
2020-04-13,50 a 54 anos,Feminino,1
2020-04-13,55 a 59 anos,Masculino,5
2020-04-13,55 a 59 anos,Feminino,3
2020-04-13,60 a 64 anos,Masculino,3
2020-04-13,60 a 64 anos,Feminino,6
2020-04-13,65 a 69 anos,Masculino,3
2020-04-13,65 a 69 anos,Feminino,5
2020-04-13,70 a 74 anos,Masculino,12
2020-04-13,70 a 74 anos,Feminino,6
2020-04-13,75 a 79 anos,Masculino,11
2020-04-13,75 a 79 anos,Feminino,7
2020-04-13,80 anos ou mais,Masculino,14
2020-04-13,80 anos ou mais,Feminino,15
2020-04-14,0 a 4 anos,Masculino,1
2020-04-14,0 a 4 anos,Feminino,2
2020-04-14,25 a 29 anos,Masculino,1
2020-04-14,30 a 34 anos,Masculino,2
2020-04-14,30 a 34 anos,Feminino,1
2020-04-14,35 a 39 anos,Masculino,1
2020-04-14,40 a 44 anos,Masculino,5
2020-04-14,40 a 44 anos,Feminino,3
2020-04-14,45 a 49 anos,Masculino,3
2020-04-14,45 a 49 anos,Feminino,2
2020-04-14,50 a 54 anos,Masculino,4
2020-04-14,50 a 54 anos,Feminino,2
2020-04-14,55 a 59 anos,Masculino,6
2020-04-14,55 a 59 anos,Feminino,3
2020-04-14,60 a 64 anos,Masculino,3
2020-04-14,60 a 64 anos,Feminino,7
2020-04-14,65 a 69 anos,Masculino,3
2020-04-14,65 a 69 anos,Feminino,6
2020-04-14,70 a 74 anos,Masculino,12
2020-04-14,70 a 74 anos,Feminino,6
2020-04-14,75 a 79 anos,Masculino,13
2020-04-14,75 a 79 anos,Feminino,7
2020-04-14,80 anos ou mais,Masculino,14
2020-04-14,80 anos ou mais,Feminino,16
2020-04-15,0 a 4 anos,Masculino,1
2020-04-15,0 a 4 anos,Feminino,2
2020-04-15,25 a 29 anos,Masculino,1
2020-04-15,30 a 34 anos,Masculino,2
2020-04-15,30 a 34 anos,Feminino,1
2020-04-15,35 a 39 anos,Masculino,1
2020-04-15,40 a 44 anos,Masculino,5
2020-04-15,40 a 44 anos,Feminino,3
2020-04-15,45 a 49 anos,Masculino,3
2020-04-15,45 a 49 anos,Feminino,2
2020-04-15,50 a 54 anos,Masculino,5
2020-04-15,50 a 54 anos,Feminino,2
2020-04-15,55 a 59 anos,Masculino,6
2020-04-15,55 a 59 anos,Feminino,3
2020-04-15,60 a 64 anos,Masculino,3
2020-04-15,60 a 64 anos,Feminino,8
2020-04-15,65 a 69 anos,Masculino,3
2020-04-15,65 a 69 anos,Feminino,6
2020-04-15,70 a 74 anos,Masculino,12
2020-04-15,70 a 74 anos,Feminino,6
2020-04-15,75 a 79 anos,Masculino,13
2020-04-15,75 a 79 anos,Feminino,7
2020-04-15,80 anos ou mais,Masculino,14
2020-04-15,80 anos ou mais,Feminino,16
