Data,faixaEtaria,quantidadeObitos,sexo
2020-04-09,30 a 34 anos,1,Feminino
2020-04-09,35 a 39 anos,1,Masculino
2020-04-09,40 a 44 anos,3,Masculino
2020-04-09,40 a 44 anos,2,Feminino
2020-04-09,45 a 49 anos,3,Masculino
2020-04-09,45 a 49 anos,1,Feminino
2020-04-09,50 a 54 anos,2,Masculino
2020-04-09,55 a 59 anos,1,Masculino
2020-04-09,55 a 59 anos,1,Feminino
2020-04-09,60 a 64 anos,2,Masculino
2020-04-09,60 a 64 anos,5,Feminino
2020-04-09,65 a 69 anos,2,Masculino
2020-04-09,65 a 69 anos,3,Feminino
2020-04-09,70 a 74 anos,6,Masculino
2020-04-09,70 a 74 anos,5,Feminino
2020-04-09,75 a 79 anos,8,Masculino
2020-04-09,75 a 79 anos,5,Feminino
2020-04-09,80 anos ou mais,11,Masculino
2020-04-09,80 anos ou mais,12,Feminino
2020-04-10,0 a 4 anos,1,Masculino
2020-04-10,0 a 4 anos,1,Feminino
2020-04-10,25 a 29 anos,1,Masculino
2020-04-10,30 a 34 anos,2,Masculino
2020-04-10,30 a 34 anos,1,Feminino
2020-04-10,35 a 39 anos,1,Masculino
2020-04-10,40 a 44 anos,3,Masculino
2020-04-10,40 a 44 anos,2,Feminino
2020-04-10,45 a 49 anos,3,Masculino
2020-04-10,45 a 49 anos,1,Feminino
2020-04-10,50 a 54 anos,2,Masculino
2020-04-10,55 a 59 anos,2,Masculino
2020-04-10,55 a 59 anos,2,Feminino
2020-04-10,60 a 64 anos,2,Masculino
2020-04-10,60 a 64 anos,5,Feminino
2020-04-10,65 a 69 anos,2,Masculino
2020-04-10,65 a 69 anos,4,Feminino
2020-04-10,70 a 74 anos,8,Masculino
2020-04-10,70 a 74 anos,5,Feminino
2020-04-10,75 a 79 anos,8,Masculino
2020-04-10,75 a 79 anos,5,Feminino
2020-04-10,80 anos ou mais,12,Masculino
2020-04-10,80 anos ou mais,12,Feminino
2020-04-11,0 a 4 anos,1,Masculino
2020-04-11,0 a 4 anos,1,Feminino
2020-04-11,25 a 29 anos,1,Masculino
2020-04-11,30 a 34 anos,2,Masculino
2020-04-11,30 a 34 anos,1,Feminino
2020-04-11,35 a 39 anos,1,Masculino
2020-04-11,40 a 44 anos,3,Masculino
2020-04-11,40 a 44 anos,2,Feminino
2020-04-11,45 a 49 anos,3,Masculino
2020-04-11,45 a 49 anos,1,Feminino
2020-04-11,50 a 54 anos,2,Masculino
2020-04-11,55 a 59 anos,2,Masculino
2020-04-11,55 a 59 anos,2,Feminino
2020-04-11,60 a 64 anos,2,Masculino
2020-04-11,60 a 64 anos,5,Feminino
2020-04-11,65 a 69 anos,2,Masculino
2020-04-11,65 a 69 anos,4,Feminino
2020-04-11,70 a 74 anos,9,Masculino
2020-04-11,70 a 74 anos,5,Feminino
2020-04-11,75 a 79 anos,9,Masculino
2020-04-11,75 a 79 anos,6,Feminino
2020-04-11,80 anos ou mais,14,Masculino
2020-04-11,80 anos ou mais,14,Feminino
2020-04-12,0 a 4 anos,1,Masculino
2020-04-12,0 a 4 anos,2,Feminino
2020-04-12,25 a 29 anos,1,Masculino
2020-04-12,30 a 34 anos,2,Masculino
2020-04-12,30 a 34 anos,1,Feminino
2020-04-12,35 a 39 anos,1,Masculino
2020-04-12,40 a 44 anos,3,Masculino
2020-04-12,40 a 44 anos,2,Feminino
2020-04-12,45 a 49 anos,3,Masculino
2020-04-12,45 a 49 anos,2,Feminino
2020-04-12,50 a 54 anos,2,Masculino
2020-04-12,55 a 59 anos,3,Masculino
2020-04-12,55 a 59 anos,2,Feminino
2020-04-12,60 a 64 anos,2,Masculino
2020-04-12,60 a 64 anos,5,Feminino
2020-04-12,65 a 69 anos,3,Masculino
2020-04-12,65 a 69 anos,4,Feminino
2020-04-12,70 a 74 anos,9,Masculino
2020-04-12,70 a 74 anos,5,Feminino
2020-04-12,75 a 79 anos,10,Masculino
2020-04-12,75 a 79 anos,7,Feminino
2020-04-12,80 anos ou mais,14,Masculino
2020-04-12,80 anos ou mais,14,Feminino
2020-04-13,0 a 4 anos,1,Masculino
2020-04-13,0 a 4 anos,2,Feminino
2020-04-13,25 a 29 anos,1,Masculino
2020-04-13,30 a 34 anos,2,Masculino
2020-04-13,30 a 34 anos,1,Feminino
2020-04-13,35 a 39 anos,1,Masculino
2020-04-13,40 a 44 anos,3,Masculino
2020-04-13,40 a 44 anos,2,Feminino
2020-04-13,45 a 49 anos,3,Masculino
2020-04-13,45 a 49 anos,2,Feminino
2020-04-13,50 a 54 anos,3,Masculino
2020-04-13,55 a 59 anos,4,Masculino
2020-04-13,55 a 59 anos,3,Feminino
2020-04-13,60 a 64 anos,3,Masculino
2020-04-13,60 a 64 anos,5,Feminino
2020-04-13,65 a 69 anos,3,Masculino
2020-04-13,65 a 69 anos,4,Feminino
2020-04-13,70 a 74 anos,9,Masculino
2020-04-13,70 a 74 anos,5,Feminino
2020-04-13,75 a 79 anos,10,Masculino
2020-04-13,75 a 79 anos,7,Feminino
2020-04-13,80 anos ou mais,14,Masculino
2020-04-13,80 anos ou mais,14,Feminino
2020-04-14,0 a 4 anos,1,Masculino
2020-04-14,0 a 4 anos,2,Feminino
2020-04-14,25 a 29 anos,1,Masculino
2020-04-14,30 a 34 anos,2,Masculino
2020-04-14,30 a 34 anos,1,Feminino
2020-04-14,35 a 39 anos,1,Masculino
2020-04-14,40 a 44 anos,3,Masculino
2020-04-14,40 a 44 anos,2,Feminino
2020-04-14,45 a 49 anos,3,Masculino
2020-04-14,45 a 49 anos,2,Feminino
2020-04-14,50 a 54 anos,3,Masculino
2020-04-14,55 a 59 anos,4,Masculino
2020-04-14,55 a 59 anos,3,Feminino
2020-04-14,60 a 64 anos,3,Masculino
2020-04-14,60 a 64 anos,5,Feminino
2020-04-14,65 a 69 anos,3,Masculino
2020-04-14,65 a 69 anos,4,Feminino
2020-04-14,70 a 74 anos,9,Masculino
2020-04-14,70 a 74 anos,5,Feminino
2020-04-14,75 a 79 anos,10,Masculino
2020-04-14,75 a 79 anos,7,Feminino
2020-04-14,80 anos ou mais,14,Masculino
2020-04-14,80 anos ou mais,15,Feminino
