Data,faixaEtaria,quantidade,sexo
2020-03-24,40 a 44 anos,12,Feminino
2020-03-24,40 a 44 anos,21,Masculino
2020-03-24,45 a 49 anos,9,Feminino
2020-03-24,45 a 49 anos,7,Masculino
2020-03-24,50 a 54 anos,18,Masculino
2020-03-24,50 a 54 anos,7,Feminino
2020-03-24,55 a 59 anos,9,Masculino
2020-03-24,55 a 59 anos,10,Feminino
2020-03-24,60 a 64 anos,5,Feminino
2020-03-24,60 a 64 anos,9,Masculino
2020-03-24,65 a 69 anos,7,Feminino
2020-03-24,65 a 69 anos,5,Masculino
2020-03-24,70 a 74 anos,4,Feminino
2020-03-24,70 a 74 anos,3,Masculino
2020-03-24,75 a 79 anos,1,Feminino
2020-03-24,75 a 79 anos,4,Masculino
2020-03-24,80 anos ou mais,4,Feminino
2020-03-24,80 anos ou mais,3,Masculino
2020-03-24,Indefinido,1,Masculino
2020-03-25,0 a 4 anos,2,Feminino
2020-03-25,5 a 9 anos,1,Masculino
2020-03-25,5 a 9 anos,2,Feminino
2020-03-25,10 a 14 anos,1,Feminino
2020-03-25,10 a 14 anos,1,Masculino
2020-03-25,15 a 19 anos,2,Feminino
2020-03-25,20 a 24 anos,5,Masculino
2020-03-25,20 a 24 anos,9,Feminino
2020-03-25,25 a 29 anos,7,Masculino
2020-03-25,25 a 29 anos,7,Feminino
2020-03-25,30 a 34 anos,14,Feminino
2020-03-25,30 a 34 anos,10,Masculino
2020-03-25,35 a 39 anos,24,Masculino
2020-03-25,35 a 39 anos,17,Feminino
2020-03-25,40 a 44 anos,13,Feminino
2020-03-25,40 a 44 anos,21,Masculino
2020-03-25,45 a 49 anos,11,Feminino
2020-03-25,45 a 49 anos,12,Masculino
2020-03-25,50 a 54 anos,8,Feminino
2020-03-25,50 a 54 anos,19,Masculino
2020-03-25,55 a 59 anos,11,Masculino
2020-03-25,55 a 59 anos,11,Feminino
2020-03-25,60 a 64 anos,6,Feminino
2020-03-25,60 a 64 anos,9,Masculino
2020-03-25,65 a 69 anos,7,Feminino
2020-03-25,65 a 69 anos,6,Masculino
2020-03-25,70 a 74 anos,4,Feminino
2020-03-25,70 a 74 anos,4,Masculino
2020-03-25,75 a 79 anos,1,Feminino
2020-03-25,75 a 79 anos,5,Masculino
2020-03-25,80 anos ou mais,5,Feminino
2020-03-25,80 anos ou mais,3,Masculino
2020-03-25,Indefinido,1,Masculino
2020-03-26,0 a 4 anos,3,Feminino
2020-03-26,0 a 4 anos,1,Masculino
2020-03-26,5 a 9 anos,1,Masculino
2020-03-26,5 a 9 anos,2,Feminino
2020-03-26,10 a 14 anos,1,Feminino
2020-03-26,10 a 14 anos,1,Masculino
2020-03-26,15 a 19 anos,2,Feminino
2020-03-26,15 a 19 anos,1,Masculino
2020-03-26,20 a 24 anos,14,Feminino
2020-03-26,20 a 24 anos,6,Masculino
2020-03-26,25 a 29 anos,7,Feminino
2020-03-26,25 a 29 anos,11,Masculino
2020-03-26,30 a 34 anos,13,Masculino
2020-03-26,30 a 34 anos,17,Feminino
2020-03-26,35 a 39 anos,26,Feminino
2020-03-26,35 a 39 anos,28,Masculino
