Data,idMunicipio,municipio,qtdConfirmado,tipo,Obitos
2020-03-24,231130,QUIXADA,6,Confirmado,0
2020-03-24,231140,QUIXERAMOBIM,1,Confirmado,0
2020-03-24,231150,QUIXERE,2,Confirmado,0
2020-03-24,231180,RUSSAS,3,Confirmado,0
2020-03-24,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-24,231200,SANTANA DO ACARAU,1,Confirmado,0
2020-03-24,231270,SENADOR POMPEU,1,Confirmado,0
2020-03-24,231290,SOBRAL,11,Confirmado,0
2020-03-24,231310,TABULEIRO DO NORTE,1,Confirmado,0
2020-03-24,231340,TIANGUA,2,Confirmado,0
2020-03-24,231350,TRAIRI,1,Confirmado,0
2020-03-25,230100,AQUIRAZ,28,Confirmado,0
2020-03-25,230110,ARACATI,3,Confirmado,0
2020-03-25,230195,BARREIRA,1,Confirmado,0
2020-03-25,230220,BEBERIBE,2,Confirmado,0
2020-03-25,230350,CASCAVEL,1,Confirmado,0
2020-03-25,230360,CATARINA,1,Confirmado,0
2020-03-25,230370,CAUCAIA,17,Confirmado,0
2020-03-25,230420,CRATO,1,Confirmado,0
2020-03-25,230423,CROATA,1,Confirmado,0
2020-03-25,230428,EUSEBIO,4,Confirmado,0
2020-03-25,230430,FARIAS BRITO,1,Confirmado,0
2020-03-25,230440,FORTALEZA,956,Confirmado,3
2020-03-25,230445,FORTIM,1,Confirmado,0
2020-03-25,230500,GUARACIABA DO NORTE,1,Confirmado,0
2020-03-25,230523,HORIZONTE,4,Confirmado,0
2020-03-25,230550,IGUATU,4,Confirmado,0
2020-03-25,230565,IPAPORANGA,1,Confirmado,0
2020-03-25,230590,IPUEIRAS,2,Confirmado,0
2020-03-25,230620,ITAICABA,1,Confirmado,0
2020-03-25,230625,ITAITINGA,1,Confirmado,0
2020-03-25,230630,ITAPAJE,1,Confirmado,0
2020-03-25,230640,ITAPIPOCA,2,Confirmado,0
2020-03-25,230655,ITAREMA,1,Confirmado,0
2020-03-25,230690,JAGUARIBE,3,Confirmado,0
2020-03-25,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-25,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-25,230765,MARACANAU,12,Confirmado,0
2020-03-25,230770,MARANGUAPE,2,Confirmado,0
2020-03-25,230810,MAURITI,1,Confirmado,0
2020-03-25,230850,MOMBACA,2,Confirmado,0
2020-03-25,230940,NOVO ORIENTE,2,Confirmado,0
2020-03-25,230970,PACATUBA,1,Confirmado,0
2020-03-25,231130,QUIXADA,6,Confirmado,0
2020-03-25,231140,QUIXERAMOBIM,2,Confirmado,0
2020-03-25,231150,QUIXERE,2,Confirmado,0
2020-03-25,231180,RUSSAS,3,Confirmado,0
2020-03-25,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-25,231200,SANTANA DO ACARAU,1,Confirmado,0
2020-03-25,231270,SENADOR POMPEU,1,Confirmado,0
2020-03-25,231290,SOBRAL,12,Confirmado,0
2020-03-25,231310,TABULEIRO DO NORTE,1,Confirmado,0
2020-03-25,231340,TIANGUA,2,Confirmado,0
2020-03-25,231350,TRAIRI,1,Confirmado,0
2020-03-26,230100,AQUIRAZ,28,Confirmado,0
2020-03-26,230110,ARACATI,3,Confirmado,0
2020-03-26,230195,BARREIRA,1,Confirmado,0
2020-03-26,230220,BEBERIBE,2,Confirmado,0
2020-03-26,230280,CANINDE,1,Confirmado,0
2020-03-26,230350,CASCAVEL,1,Confirmado,0
2020-03-26,230360,CATARINA,1,Confirmado,0
2020-03-26,230370,CAUCAIA,20,Confirmado,0
2020-03-26,230410,CRATEUS,1,Confirmado,0
2020-03-26,230420,CRATO,1,Confirmado,0
2020-03-26,230423,CROATA,1,Confirmado,0
2020-03-26,230428,EUSEBIO,4,Confirmado,0
2020-03-26,230430,FARIAS BRITO,1,Confirmado,0
2020-03-26,230440,FORTALEZA,1044,Confirmado,6
2020-03-26,230445,FORTIM,1,Confirmado,0
2020-03-26,230500,GUARACIABA DO NORTE,1,Confirmado,0
2020-03-26,230523,HORIZONTE,4,Confirmado,0
2020-03-26,230540,ICO,2,Confirmado,0
2020-03-26,230550,IGUATU,5,Confirmado,0
2020-03-26,230565,IPAPORANGA,1,Confirmado,0
2020-03-26,230590,IPUEIRAS,2,Confirmado,0
2020-03-26,230620,ITAICABA,1,Confirmado,0
2020-03-26,230625,ITAITINGA,1,Confirmado,0
2020-03-26,230630,ITAPAJE,1,Confirmado,0
2020-03-26,230640,ITAPIPOCA,2,Confirmado,0
2020-03-26,230655,ITAREMA,1,Confirmado,0
2020-03-26,230690,JAGUARIBE,3,Confirmado,0
2020-03-26,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-26,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-26,230765,MARACANAU,15,Confirmado,0
2020-03-26,230770,MARANGUAPE,2,Confirmado,0
2020-03-26,230810,MAURITI,1,Confirmado,0
2020-03-26,230850,MOMBACA,2,Confirmado,0
2020-03-26,230940,NOVO ORIENTE,2,Confirmado,0
2020-03-26,230970,PACATUBA,1,Confirmado,0
2020-03-26,231130,QUIXADA,6,Confirmado,0
2020-03-26,231140,QUIXERAMOBIM,2,Confirmado,0
2020-03-26,231150,QUIXERE,2,Confirmado,0
2020-03-26,231180,RUSSAS,3,Confirmado,0
2020-03-26,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-26,231200,SANTANA DO ACARAU,1,Confirmado,0
2020-03-26,231270,SENADOR POMPEU,1,Confirmado,0
2020-03-26,231280,SENADOR SA,1,Confirmado,0
2020-03-26,231290,SOBRAL,14,Confirmado,0
2020-03-26,0,Sem informação,1,Confirmado,0
2020-03-26,231310,TABULEIRO DO NORTE,1,Confirmado,0
2020-03-26,231340,TIANGUA,3,Confirmado,0
2020-03-26,231350,TRAIRI,1,Confirmado,0
2020-03-27,230100,AQUIRAZ,28,Confirmado,0
2020-03-27,230110,ARACATI,3,Confirmado,0
2020-03-27,230195,BARREIRA,1,Confirmado,0
2020-03-27,230220,BEBERIBE,2,Confirmado,0
2020-03-27,230280,CANINDE,1,Confirmado,0
2020-03-27,230350,CASCAVEL,1,Confirmado,0
2020-03-27,230360,CATARINA,1,Confirmado,0
2020-03-27,230370,CAUCAIA,23,Confirmado,0
2020-03-27,230410,CRATEUS,1,Confirmado,0
2020-03-27,230420,CRATO,1,Confirmado,0
2020-03-27,230423,CROATA,1,Confirmado,0
2020-03-27,230428,EUSEBIO,4,Confirmado,0
2020-03-27,230430,FARIAS BRITO,1,Confirmado,0
2020-03-27,230440,FORTALEZA,1123,Confirmado,7
2020-03-27,230445,FORTIM,1,Confirmado,0
2020-03-27,230500,GUARACIABA DO NORTE,1,Confirmado,0
2020-03-27,230523,HORIZONTE,4,Confirmado,0
2020-03-27,230540,ICO,2,Confirmado,0
2020-03-27,230550,IGUATU,5,Confirmado,0
2020-03-27,230565,IPAPORANGA,1,Confirmado,0
2020-03-27,230590,IPUEIRAS,2,Confirmado,0
2020-03-27,230620,ITAICABA,1,Confirmado,0
2020-03-27,230625,ITAITINGA,1,Confirmado,0
2020-03-27,230630,ITAPAJE,1,Confirmado,0
2020-03-27,230640,ITAPIPOCA,2,Confirmado,0
2020-03-27,230655,ITAREMA,1,Confirmado,0
2020-03-27,230690,JAGUARIBE,4,Confirmado,1
2020-03-27,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-27,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-27,230765,MARACANAU,16,Confirmado,0
2020-03-27,230770,MARANGUAPE,3,Confirmado,0
2020-03-27,230810,MAURITI,1,Confirmado,0
2020-03-27,230850,MOMBACA,2,Confirmado,0
2020-03-27,230940,NOVO ORIENTE,2,Confirmado,0
2020-03-27,230970,PACATUBA,2,Confirmado,0
2020-03-27,231130,QUIXADA,6,Confirmado,0
2020-03-27,231140,QUIXERAMOBIM,2,Confirmado,0
2020-03-27,231150,QUIXERE,2,Confirmado,0
2020-03-27,231180,RUSSAS,3,Confirmado,0
2020-03-27,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-27,231200,SANTANA DO ACARAU,1,Confirmado,0
2020-03-27,231270,SENADOR POMPEU,1,Confirmado,0
2020-03-27,231280,SENADOR SA,1,Confirmado,0
2020-03-27,231290,SOBRAL,15,Confirmado,0
2020-03-27,0,Sem informação,2,Confirmado,0
2020-03-27,231310,TABULEIRO DO NORTE,1,Confirmado,0
2020-03-27,231340,TIANGUA,3,Confirmado,1
2020-03-27,231350,TRAIRI,1,Confirmado,0
2020-03-28,230100,AQUIRAZ,30,Confirmado,0
2020-03-28,230110,ARACATI,3,Confirmado,0
2020-03-28,230195,BARREIRA,1,Confirmado,0
2020-03-28,230220,BEBERIBE,2,Confirmado,0
2020-03-28,230280,CANINDE,1,Confirmado,0
2020-03-28,230350,CASCAVEL,1,Confirmado,0
2020-03-28,230360,CATARINA,1,Confirmado,0
2020-03-28,230370,CAUCAIA,25,Confirmado,0
2020-03-28,230410,CRATEUS,1,Confirmado,0
2020-03-28,230420,CRATO,1,Confirmado,0
2020-03-28,230423,CROATA,1,Confirmado,0
2020-03-28,230428,EUSEBIO,4,Confirmado,0
2020-03-28,230430,FARIAS BRITO,1,Confirmado,0
2020-03-28,230440,FORTALEZA,1174,Confirmado,8
2020-03-28,230445,FORTIM,1,Confirmado,0
2020-03-28,230500,GUARACIABA DO NORTE,1,Confirmado,0
2020-03-28,230523,HORIZONTE,4,Confirmado,0
2020-03-28,230540,ICO,2,Confirmado,0
